id,infra,name,iso3,Continent_Code,geometry,canal_main,v_out,q_out,v_in,q_in,v_total,q_total
port1141,port,San Fransisco_U.S.A.,USA,NA,POINT (-122.3870813748719 37.75519021550544),Panama,340464721.7639454,1571291.6086245237,120807205.20438512,1297228.790314079,461271926.9683305,2868520.398938603
port1170,port,Savannah_U.S.A.,USA,NA,POINT (-81.10052022006369 32.104024540837706),Panama,11183284700.100674,10812908.389049962,21728430007.881912,8575315.653871754,32911714707.982586,19388224.042921714
port1175,port,Seattle_U.S.A.,USA,NA,POINT (-122.34576162820697 47.57185014693231),Panama,2389899577.6276646,4093305.171450849,216251350.9617234,313145.40386134037,2606150928.589388,4406450.57531219
port1214,port,South Louisiana_U.S.A.,USA,NA,POINT (-90.8678107244268 30.1237952598628),Panama,7031407928.044955,6214541.924403433,398550300.06730807,450479.3035748482,7429958228.112264,6665021.227978281
port1229,port,Stockton_U.S.A.,USA,NA,POINT (-121.31088285154942 37.947969027429416),Panama,32634361.678889375,83098.94046922761,67094969.86714941,72880.11850574866,99729331.54603879,155979.05897497627
port1236,port,Superior_U.S.A.,USA,NA,POINT (-92.09100100792195 46.71928734720906),Panama,12437940.216465682,28645.991830450184,12422295.828344334,24943.762507292446,24860236.044810016,53589.754337742634
port1241,port,Swanport_U.S.A.,USA,NA,POINT (-146.38360337450882 61.08345855738029),Panama,334048.88954243535,120.85146080714134,1913678.2160836535,628.7332809204224,2247727.105626089,749.5847417275638
port1248,port,Tacoma_U.S.A.,USA,NA,POINT (-122.39121233325841 47.253565796308976),Panama,632285543.9686681,1345830.2945358197,19494360.01390992,40904.86943902468,651779903.982578,1386735.1639748444
port1259,port,Tampa_U.S.A.,USA,NA,POINT (-82.41979138966131 27.898340749725676),Panama,4471736553.622851,5937579.184486566,575636404.3539472,619692.4759306863,5047372957.976799,6557271.660417252
port1285,port,Texas City_U.S.A.,USA,NA,POINT (-94.91276461646224 29.37581006992484),Panama,1428121687.458539,1972199.5926442335,339565057.3449769,626348.409226124,1767686744.803516,2598548.0018703574
port1351,port,Vancouver_U.S.A.,USA,NA,POINT (-122.72741242164274 45.6380227086201),Panama,42494762.40426816,112553.01618631526,72433522.17958504,140355.6481311436,114928284.5838532,252908.66431745887
port1398,port,"Wilmington, DE_U.S.A.",USA,NA,POINT (-75.5216553562249 39.704856744349215),Panama,9835941.168189824,4039.0939652963607,482007731.0888716,1453619.92145046,491843672.2570614,1457659.0154157565
port1399,port,"Wilmington, NC_U.S.A.",USA,NA,POINT (-77.95014842805263 34.205147129406036),Panama,408662954.37262243,231683.87843016867,851178567.255972,134313.3810946296,1259841521.6285944,365997.25952479825
port301,port,Dover Harbor_United Kingdom,GBR,EU,POINT (1.3243048041574812 51.12045225982155),Panama,52659462.086002395,6581.866551310532,303999768.7524066,148816.48131902976,356659230.838409,155398.34787034028
