from_id,to_id,from_infra,to_infra,distance,length,geometry,v_sea_flow,q_sea_flow
port154,maritime12337,port,maritime,103.94735585332762,1.178333819832066,"LINESTRING (117.86724447634192 38.32313122558751, 119.02100709132361 38.5625104628464)",936038372.910973,332183.66074110486
port155,maritime64,port,maritime,183.59112997246064,1.6519867572934506,"LINESTRING (7.157020931593515 4.420690387691537, 8 2.999969959)",129.09760262301182,0.1994245890760854
port156,maritime3457,port,maritime,249.51952469184155,2.2441038950912797,"LINESTRING (117.49256737222485 0.0968865572556536, 119.5 1.09999001)",7221143.748162075,2535.103726788497
port159,maritime5382,port,maritime,0.881453887736744,0.007987776052598762,"LINESTRING (-71.03617153597182 42.37717521495631, -71.03471375 42.38502884)",147228349.26504073,282047.8577542204
port161,maritime2913,port,maritime,26.275257329092266,0.28472349270488,"LINESTRING (151.2158951934467 -33.98153450901857, 151.5000153 -34.00006104)",18485.421117702743,9.481429654168513
port168,maritime2854,port,maritime,43.84281971000415,0.46470407471165937,"LINESTRING (8.555056667114231 53.54944124151818, 8.249990463 53.89999008)",541108527.5922475,561788.4870099771
port171,maritime612,port,maritime,12.755776266005588,0.11490362831961605,"LINESTRING (-59.627447909713226 13.106614945986191, -59.59833908 12.99545956)",51280895.42695726,143449.57904752681
port174,maritime3554,port,maritime,70.77383119281991,0.7036174110892873,"LINESTRING (153.14558323614085 -27.40850097251321, 153.8000031 -27.1500206)",6098274.444274978,7794.6956138939095
port175,maritime2871,port,maritime,72.09280694018504,0.6487125927374886,"LINESTRING (11.425689144516953 58.34819267239734, 11.39999008 57.69998932)",1634323.743301444,121.59545934025732
port176,maritime3087,port,maritime,237.8970329311126,2.152010883096287,"LINESTRING (122.20673937075573 -18.000500198595883, 122.9999771 -16.00001907)",449330.5698059755,309.6788108652064
port177,maritime5202,port,maritime,0.32843046355885197,0.00327650214427676,"LINESTRING (-97.38156647318829 25.95858284808265, -97.37832642 25.95907021)",56042453.78719072,82871.31565237803
port180,maritime8078,port,maritime,0.3174471251194939,0.0028776679137474397,"LINESTRING (-81.51967885646486 31.1318521684773, -81.52037811 31.12906075)",5852107746.794792,562642.7857053095
port183,maritime4157,port,maritime,103.562721701129,0.9335205512504688,"LINESTRING (-77.06649613467158 3.8943885656037103, -78 3.899970055)",4164976485.1539783,22186607.0553013
port184,maritime680,port,maritime,45.62281737543173,0.4105423753898668,"LINESTRING (-58.35237171266093 -34.61975015240211, -58.37754059 -34.20998001)",487137150.9062382,384043.9758831891
port187,maritime3616,port,maritime,51.95041696701499,0.7051625570604845,"LINESTRING (140.300631210434 49.09019680829846, 141 48.99998856)",570639.0324084086,414.58126497218353
port190,maritime3567,port,maritime,96.11653892759325,0.9877328590668094,"LINESTRING (115.66453747206657 -33.322300045531605, 114.8000031 -33.79999924)",65618264.83953999,20709.60283267449
port191,maritime115,port,maritime,63.18521228573859,0.6216232379814873,"LINESTRING (33.94223110377931 26.725555514982844, 34.5 26.99998093)",24821.707358468324,21.165710701924965
port192,maritime2927,port,maritime,30.82987271393335,0.28668300172238315,"LINESTRING (32.30771942243283 31.249586292483176, 32.16669083 30.99999046)",44936903.800201625,88404.08787497989
port193,maritime12,port,maritime,202.92147342860352,2.1195700927552497,"LINESTRING (27.482266275708785 42.46948481439915, 29.10000038 41.09999084)",16695503.571131798,8060.408479521293
port196,maritime3005,port,maritime,83.79000383881788,0.8325059188378349,"LINESTRING (50.83467263434516 28.991537473184092, 50.09999084 28.59999084)",66216985.66948093,118610.36349934338
port201,maritime2292,port,maritime,31.30680889121033,0.345518026056069,"LINESTRING (-6.2637586492793105 36.52041019477181, -6.599989891 36.5999794)",3263428.2856077733,2285.1735349980254
port205,maritime64,port,maritime,226.16358191118928,2.0340673428930827,"LINESTRING (8.325139169155197 5.007882924271452, 8 2.999969959)",59.59761048068994,0.0940619815294833
port208,maritime4166,port,maritime,90.69497621470812,0.842701927265975,"LINESTRING (-70.19493410751362 -20.786540511121714, -70.80001068 -20.20000076)",327833664.4099514,847518.3576154994
port212,maritime5268,port,maritime,0.6552146861388891,0.006625848897406501,"LINESTRING (-80.61594934700865 28.41097835086082, -80.60958099 28.40914917)",2156895.1216956535,6636.8294626261495
port213,maritime3606,port,maritime,80.17427406542939,0.7230290235281028,"LINESTRING (108.80186532412341 15.404665009910977, 109.0000229 16.10000992)",2840912.3641179744,3447.0880447132818
port215,maritime123,port,maritime,127.4089696342456,1.173550926764247,"LINESTRING (18.44822890206952 -33.915431968933554, 18 -35.00001144)",12610023.817182649,2721.5452780123787
port218,maritime3080,port,maritime,154.46902463962186,1.390082925255783,"LINESTRING (-75.51291157787148 10.335006021988931, -75.25 11.69999981)",4756471901.925483,7669919.869821728
port219,maritime4255,port,maritime,31.591359116825338,0.35356379059879545,"LINESTRING (-0.945398356705371 37.57548974049472, -0.5999900103 37.49998856)",39431226.79624318,43553.45426429759
port220,maritime2640,port,maritime,98.64834958513288,0.9267019709086953,"LINESTRING (-7.578850395884303 33.60660010425234, -7.100019932 34.40000916)",237767321.96217152,153648.77811859947
port221,maritime4769,port,maritime,1.1755457497579724,0.010807277867538235,"LINESTRING (-61.009273722589015 13.994441106501782, -61 13.99999046)",2159052.9218409564,1131.4124914473387
port225,maritime51,port,maritime,76.06860195464927,0.6916135224456824,"LINESTRING (-61.640375752443504 10.68085280779315, -61.1027298 11.11590004)",113.34828256216392,0.1322765503256679
port227,maritime657,port,maritime,192.4520526728567,1.9462142129427515,"LINESTRING (120.96427286621353 31.757780409043075, 122.6775513 30.8345108)",547672.9572007166,426.0832845654736
port23,maritime1613,port,maritime,66.2164719089311,0.5958220116293131,"LINESTRING (29.837590529759673 31.15536501576496, 29.79999924 31.75)",71952936.1269414,20704.37512780115
port230,maritime7501,port,maritime,8.65208312198764,0.07782775856995101,"LINESTRING (-82.87824453035748 8.20636789441012, -82.8666687 8.283329964)",534687676.95386016,527457.639416291
port231,maritime5556,port,maritime,2.5619318770360566,0.026908472198253666,"LINESTRING (-79.92115798771714 32.89929619779481, -79.94674683 32.90761948)",14121779432.640507,11211463.731277907
port233,maritime6800,port,maritime,3.7329834569485505,0.03428220030714998,"LINESTRING (-64.93840481312252 18.33384952631222, -64.91634369 18.36009026)",739878.8448295201,6101.610086169658
port235,maritime2307,port,maritime,77.26064018374417,0.7128630795549795,"LINESTRING (80.2942507382557 13.10046724124775, 81 13.00000954)",1852634.0932410508,432.2481119803077
port236,maritime5183,port,maritime,6.1436314960985055,0.060819837286543395,"LINESTRING (-122.7139354060087 48.85252004956763, -122.7477112 48.80194092)",477029251.7393774,946006.5271924088
port237,maritime5707,port,maritime,1.0335909569378852,0.011912744536341346,"LINESTRING (-75.34091923593303 39.852882198627775, -75.3292923 39.85028839)",147263227.6014227,89865.93498825355
port239,maritime303,port,maritime,48.05382574088407,0.4774250830297509,"LINESTRING (140.05233918787292 35.52513991618921, 140.4029388 35.20108032)",26935775.73646277,8305.99700989518
port24,maritime200,port,maritime,46.19710621888306,0.4642772998391714,"LINESTRING (49.6603902971205 27.055730142783407, 50.11666107 26.96987915)",671657.4785652291,457.8647746035462
port240,maritime6054,port,maritime,62.12241408865641,0.5590173176665211,"LINESTRING (-82.12102128651314 8.954239787395805, -82 9.5)",15815813.525315482,46898.40992464461
port244,maritime3950,port,maritime,69.09564126893235,0.6283644367830056,"LINESTRING (-80.49961070099657 22.17631285446604, -80.75 21.59999084)",14864218.685935296,14521.174042964245
port252,maritime3929,port,maritime,53.28916629042317,0.4792410104151522,"LINESTRING (-94.40048652600215 18.120759614994963, -94.40000153 18.60000038)",46505485.87867616,33547.911028303686
port256,maritime4431,port,maritime,112.62531285801414,1.5031054054926862,"LINESTRING (-54.000482932348824 47.78874082562783, -52.5 47.69998932)",1477334.2108327232,136.31565745242148
port257,maritime2965,port,maritime,264.0729490586531,2.8058839209758317,"LINESTRING (-67.44977008063881 -45.8339314864208, -65.40000916 -47.75003815)",389373911.8003048,539211.3904738973
port258,maritime217,port,maritime,141.93270567167488,1.2823373642716367,"LINESTRING (-13.715240949211362 9.51414335959939, -14.50000954 8.499979973)",42273.468651260315,41.88337835798087
port259,maritime151,port,maritime,68.19925444494464,0.6240086532047183,"LINESTRING (-76.926783415688 -12.248992400455338, -77.4616394 -12.57042027)",1958331511.0157661,1388439.2783942304
port260,maritime194,port,maritime,114.8842449284225,1.4008256023116623,"LINESTRING (28.648438622240928 44.13174252572028, 30.01095009 43.80635834)",89933072.54436067,186177.6223532857
port261,maritime77,port,maritime,71.0950844811063,0.6458709204262778,"LINESTRING (-87.16901026624205 12.481009330396384, -87.59999847 11.99997044)",154983271.02751863,176367.86506018485
port263,maritime2981,port,maritime,67.01989383031275,0.7483935907177518,"LINESTRING (-73.16219887909149 -37.025469173310185, -73.90000153 -36.90000916)",914922480.3289652,1125676.1839358155
port264,maritime7646,port,maritime,0.09463246998470598,0.0008944985111501359,"LINESTRING (-97.3799079100681 27.84122725064461, -97.37931824 27.84189987)",4922798459.7064905,7062058.31859643
port266,maritime3080,port,maritime,259.94638170071715,2.3392033242852466,"LINESTRING (-75.69862757158533 9.404219878394926, -75.25 11.69999981)",258603278.2249995,667753.745838231
port267,maritime86,port,maritime,8.517029497243152,0.07711960381862196,"LINESTRING (-5.316014757585397 35.89549311484472, -5.331309795 35.97108078)",53008157.317110896,73143.08525600443
port270,maritime4121,port,maritime,90.85389097262093,0.9829599295421593,"LINESTRING (126.40367278117384 37.01322693846365, 125.5 37.39999008)",825611.6177106459,361.33468053178746
port272,maritime210,port,maritime,51.266413788764005,0.4752425770381205,"LINESTRING (-17.426101932742775 14.68346039725946, -17.88286972 14.55224037)",1626691.4636038344,3710.489586469817
port273,maritime4127,port,maritime,37.607714193559715,0.36761400514557013,"LINESTRING (121.77030099721195 38.987035504564595, 121.9999771 38.70000076)",174045974.82806686,74338.06851640779
port274,maritime1606,port,maritime,41.712816388924004,0.4153631552615996,"LINESTRING (31.759472476409314 31.462136855631023, 32.09999084 31.69998932)",4885.676388387401,8.41921642175338
port276,maritime3085,port,maritime,225.05003194214513,2.1223632320082464,"LINESTRING (116.7424761471211 -20.626686598862754, 118.5999908 -19.60000992)",800572.3582020199,767.3294844240379
port277,maritime4125,port,maritime,47.46910190983566,0.43792118405055525,"LINESTRING (124.14685910824761 39.81024913763587, 124.3000031 39.39997864)",11100887.080969978,3082.6504883146877
port281,maritime3597,port,maritime,165.18571348155965,1.4856348218142386,"LINESTRING (125.65946637381833 7.178981080270961, 125.8000183 5.700009823)",115634385.72239667,71543.79861823091
port282,maritime7062,port,maritime,1.0365915132433656,0.01193321217339885,"LINESTRING (-71.41914669084434 41.60836202310179, -71.40792847 41.61243057)",14634657.759239597,87495.83435779618
