id,name,iso3,geometry,lat,lon,export,import,trans,throughput
port870,Paagoumene_New Caledonia,NCL,POINT (164.18131976058768 -20.49254527221003),-20.49254527221003,164.18131976058768,71628060.39082639,1991746.8632412276,0.0,73619807.25406761
port66,Argentia_Canada,CAN,POINT (-53.93354604064832 47.33890642242393),47.33890642242393,-53.93354604064832,71322184.92265739,232897845.9312645,60037813.70591764,364257844.55983955
port212,Canaveral Harbor_U.S.A.,USA,POINT (-80.61594934700865 28.41097835086082),28.41097835086082,-80.61594934700865,71071603.64378886,2013121921.8671608,36098707.91212499,2120292233.4230747
port574,Kingstown_Saint Vincent and the Grenadines,VCT,POINT (-61.23551139432696 13.158941901464766),13.158941901464766,-61.23551139432696,69525462.31944065,190273850.7413689,1531152.9064744248,261330465.96728396
port279,Daru_Papua New Guinea,PNG,POINT (143.20949523251002 -9.065995282488482),-9.065995282488482,143.20949523251002,68287229.09380966,5483304.514777977,0.0,73770533.60858764
port983,Port of Can Tho_Vietnam,VNM,POINT (105.70230036848956 10.112240679048337),10.112240679048337,105.70230036848956,67481603.54632053,92085564.2106098,1067293.7386285625,160634461.4955589
port1110,Roseau_Dominica,DMA,POINT (-61.389091446005835 15.311967796056367),15.311967796056367,-61.389091446005835,67180671.22334367,121985693.39491108,604204.2172222672,189770568.83547702
port1314,Torrevieja_Spain,ESP,POINT (-0.6968129435823344 37.97481074288802),37.97481074288802,-0.6968129435823344,67030300.86985789,14765082.63093794,618718.457885657,82414101.95868148
port1343,Uno Ko_Japan,JPN,POINT (133.97346926067416 34.56607811194986),34.56607811194986,133.97346926067416,65845707.412037164,11830147.20511474,0.0,77675854.6171519
port942,Port De Caen_France,FRA,POINT (-0.2913300558899446 49.224608450272854),49.224608450272854,-0.29133005588994465,65403243.48959982,61211809.27309858,381923.5518616517,126996976.31456006
port520,Jimenez_Philippines,PHL,POINT (123.8533364261333 8.26033617463559),8.26033617463559,123.8533364261333,64457482.10250914,526128260.9731634,132008163.50712733,722593906.5827999
port1356,Vasteras_Sweden,SWE,POINT (16.51549534277875 59.5942614459837),59.5942614459837,16.51549534277875,64026706.70916796,313548246.3223138,1220096.6627076785,378795049.6941894
port638,Le Legue_France,FRA,POINT (-2.7252493620729643 48.52821971336006),48.52821971336006,-2.7252493620729643,63603068.65140611,370816524.0427732,886412.2795305068,435306004.9737098
port1262,Tanah Merah_Indonesia,IDN,POINT (116.15672388551084 -1.8201767410651726),-1.8201767410651726,116.15672388551084,62197761.029598385,630874.0826924494,0.0,62828635.11229084
port303,Drogheda_Ireland,IRL,POINT (-6.339268260612721 53.716998419136324),53.716998419136324,-6.339268260612721,61818114.46908263,272658606.8201708,59917.17181650905,334536638.46107
port1371,Vlores_Albania,ALB,POINT (19.466801946673204 40.46270000324939),40.46270000324939,19.466801946673204,61532260.36651271,44796523.149545036,82176036.11139847,188504819.62745622
port1176,Seghe_Solomon Islands,SLB,POINT (157.93414337199096 -8.586886160479988),-8.586886160479988,157.93414337199096,61349559.90792233,0.0,0.0,61349559.90792233
port355,Frederikshavn_Denmark,DNK,POINT (10.545880590458468 57.43847820033015),57.43847820033015,10.545880590458468,60612859.856649116,58203009.73229794,145692301.8648384,264508171.45378545
port565,Kieta_Papua New Guinea,PNG,POINT (155.63839899873028 -6.218768246912848),-6.218768246912848,155.63839899873028,60027647.36805333,51891145.16324243,32572.93256328228,111951365.46385904
port669,Luganville_Vanuatu,VUT,POINT (167.19008572495494 -15.51471654044513),-15.51471654044513,167.19008572495494,59855872.3897486,111110987.21245795,8017107.074660643,178983966.6768672
port1034,Puerto Chanaral_Chile,CHL,POINT (-70.64246833793368 -26.355665244791297),-26.355665244791297,-70.64246833793368,59087404.476803616,97538219.19451113,2087803.7307800595,158713427.4020948
port21,Al Burayqah_Libya,LBY,POINT (19.598362610129133 30.407066339237748),30.407066339237748,19.598362610129133,58766658.9218171,63974841.76720701,14908470.739241185,137649971.4282653
port1431,palma De Mallorca_Spain,ESP,POINT (2.6327059723157724 39.55412037502829),39.55412037502829,2.6327059723157724,58741900.63868692,665152107.3927064,36825958.32165193,760719966.3530452
port1096,Rethimnon_Greece,GRC,POINT (24.480150385874175 35.37005168644589),35.37005168644589,24.480150385874175,58162340.48690424,243681529.48240528,1212604.6629560767,303056474.63226557
port710,Marsa Sabratah_Libya,LBY,POINT (12.238063721788823 32.85456190844894),32.85456190844894,12.238063721788823,57331824.26669127,6941419.208636835,2921152.5734593626,67194396.04878746
port8,Ad Dakhla_Western Sahara,ESH,POINT (-15.952673904063527 23.667939507051656),23.667939507051656,-15.952673904063527,56404377.693725094,48775872.80463896,71411.55615126633,105251662.05451533
port97,Baie Ugue_New Caledonia,NCL,POINT (165.55688218769163 -21.147517395795628),-21.147517395795628,165.55688218769163,55913125.61368053,7776230.467152776,0.0,63689356.0808333
port1035,Puerto Colon_Panama,PAN,POINT (-79.87879173594918 9.3733246286499),9.3733246286499,-79.87879173594918,54943176.213583335,605385574.3182758,8323650569.283521,8983979319.81538
port1079,Raahe_Finland,FIN,POINT (24.407476431494732 64.65804795682052),64.65804795682052,24.407476431494732,54496386.98127253,108636530.71018985,0.0,163132917.6914624
port1192,Shijing Longxiang_China,CHN,POINT (118.43827573906593 24.660965599229208),24.660965599229208,118.43827573906593,52455375.2973143,524553539.55548507,1540796.0519389387,578549710.9047383
port1172,Sawakin Harbor_Sudan,SDN,POINT (37.3494817785628 19.11596039619306),19.11596039619306,37.3494817785628,52351417.30487013,116336636.60439233,9819.201461682656,168697873.11072415
port763,Montego Bay_Jamaica,JAM,POINT (-77.93335096652193 18.460708567191435),18.460708567191435,-77.93335096652193,50928509.08038425,83341278.93724722,4100259.8237365754,138370047.84136805
port39,Alvika_Norway,NOR,POINT (6.371692044629987 62.479172023733824),62.479172023733824,6.371692044629987,49949875.02396272,22419647.863507323,165848.9052141981,72535371.79268424
port37,Alotoa_Papua New Guinea,PNG,POINT (150.45602470262926 -10.31565512784391),-10.31565512784391,150.45602470262926,49887493.40610851,36571300.919738285,5444516.593693564,91903310.91954036
port1245,Sydney_U.S.A.,USA,POINT (-60.216596410733935 46.17600890802396),46.17600890802396,-60.216596410733935,49622055.54173035,145594678.61068472,8963613.83619366,204180347.98860872
port980,Port Vila_Vanuatu,VUT,POINT (168.3019318158202 -17.755839875809027),-17.755839875809027,168.3019318158202,49371578.240969315,101338645.04125144,6846149.37220567,157556372.65442643
port1196,Shui Dong_China,CHN,POINT (111.073032554182 21.47648315694529),21.47648315694529,111.073032554182,48926726.15462789,178632927.2622951,9877.896125763731,227569531.31304875
port211,Canaport (St. John)_Canada,CAN,POINT (-65.98533042919031 45.21338637894184),45.21338637894184,-65.98533042919031,48203916.3063545,1106256923.9330182,117687756.76920027,1272148597.008573
port308,Dudinka_Russia,RUS,POINT (86.17703837353535 69.4031210247586),69.4031210247586,86.17703837353535,47989108.96309054,9066648.356460303,0.0,57055757.31955084
port889,Patrai_Greece,GRC,POINT (21.72775772527492 38.2408891794304),38.2408891794304,21.72775772527492,47505662.791728005,51614083.646451525,1469204.24927687,100588950.6874564
port705,Marin_Spain,ESP,POINT (-8.69703221956071 42.39926143962704),42.39926143962704,-8.69703221956071,47237779.315107726,497932906.9519795,1974624.0562877099,547145310.323375
port1220,St John's_Canada,CAN,POINT (-52.70436538209804 47.56031799474378),47.56031799474378,-52.70436538209804,45919204.55846478,885502030.2424853,160506359.03397354,1091927593.8349235
port122,Basseterre_Saint Kitts and Nevis,KNA,POINT (-62.70846699294254 17.287356483257454),17.287356483257454,-62.70846699294254,45524396.02271046,138857638.7799253,6041835.796669027,190423870.59930477
